432;54727;Aurilândia;GO
433;169238;Aurora;CE
434;149969;Aurora;SC
435;258513;Aurora do Pará;PA
436;37405;Aurora do Tocantins;TO
437;264873;Autazes;AM
438;249446;Avaí;SP
439;192942;Avanhandava;SP
440;2211726;Avaré;SP
441;98740;Aveiro;PA
442;65086;Avelino Lopes;PI
443;47811;Avelinópolis;GO
444;61791;Axixá;MA
445;91931;Axixá do Tocantins;TO
446;91910;Babaçulândia;TO
447;1019263;Bacabal;MA
448;281761;Bacabeira;MA
449;84749;Bacuri;MA
450;28796;Bacurituba;MA
451;314613;Bady Bassitt;SP
452;239844;Baependi;MG
453;2563713;Bagé;RS
454;147697;Bagre;PA
455;70877;Baía da Traição;PB
456;144093;Baía Formosa;RN
457;117158;Baianópolis;BA
458;308882;Baião;PA
459;132901;Baixa Grande;BA
460;559407;Baixa Grande do Ribeiro;PI
461;39861;Baixio;CE
462;603725;Baixo Guandu;ES
463;38708;Balbinos;SP
464;79846;Baldim;MG
465;65258;Baliza;GO
466;131309;Balneário Arroio do Silva;SC
467;164020;Balneário Barra do Sul;SC
468;4799561;Balneário Camboriú;SC
469;124738;Balneário Gaivota;SC
470;521517;Balneário Piçarras;SC
471;186497;Balneário Pinhal;RS
472;183798;Balneário Rincão;SC
473;614069;Balsa Nova;PR
474;159997;Bálsamo;SP
475;2629706;Balsas;MA
476;478919;Bambuí;MG
477;135470;Banabuiú;CE
478;184707;Bananal;SP
479;197687;Bananeiras;PB
480;40561;Bandeira;MG
481;58999;Bandeira do Sul;MG
482;57170;Bandeirante;SC
483;287181;Bandeirantes;MS
484;598830;Bandeirantes;PR
485;86733;Bandeirantes do Tocantins;TO
486;68527;Bannach;PA
487;76114;Banzaê;BA
488;190608;Barão;RS
489;71389;Barão de Antonina;SP
490;777624;Barão de Cocais;MG
491;167740;Barão de Cotegipe;RS
492;175608;Barão de Grajaú;MA
493;76822;Barão de Melgaço;MT
494;42568;Barão de Monte Alto;MG
495;97128;Barão do Triunfo;RS
496;34651;Baraúna;PB
497;571753;Baraúna;RN
498;2370207;Barbacena;MG
499;706555;Barbalha;CE
500;87620;Barbosa;SP
501;194915;Barbosa Ferraz;PR
502;5520848;Barcarena;PA
503;30552;Barcelona;RN
504;151583;Barcelos;AM
505;919359;Bariri;SP
506;332643;Barra;BA
507;34138;Barra Bonita;SC
508;1298925;Barra Bonita;SP
509;226808;Barra da Estiva;BA
510;26216;Barra D'Alcântara;PI
511;84559;Barra de Guabiraba;PE
512;108435;Barra de Santa Rosa;PB
513;62677;Barra de Santana;PB
514;135112;Barra de Santo Antônio;AL
515;826884;Barra de São Francisco;ES
516;144225;Barra de São Miguel;AL
517;41906;Barra de São Miguel;PB
518;1036912;Barra do Bugres;MT
519;71191;Barra do Chapéu;SP
520;442603;Barra do Choça;BA
521;552419;Barra do Corda;MA
522;1554804;Barra do Garças;MT
523;38141;Barra do Guarita;RS
524;74911;Barra do Jacaré;PR
525;86340;Barra do Mendes;BA
526;48783;Barra do Ouro;TO
527;1923475;Barra do Piraí;RJ
528;184239;Barra do Quaraí;RS
529;295407;Barra do Ribeiro;RS
530;42167;Barra do Rio Azul;RS
531;64725;Barra do Rocha;BA
532;79666;Barra do Turvo;SP
533;370489;Barra dos Coqueiros;SE
534;104471;Barra Funda;RS
535;51945;Barra Longa;MG
536;4996770;Barra Mansa;RJ
537;1260840;Barra Velha;SC
538;229271;Barracão;PR
539;170595;Barracão;RS
540;307971;Barras;PI
541;135434;Barreira;CE
542;3716479;Barreiras;BA
543;21702;Barreiras do Piauí;PI
544;205900;Barreirinha;AM
545;390773;Barreirinhas;MA
546;392584;Barreiros;PE
547;3796947;Barretos;SP
548;437227;Barrinha;SP
549;148950;Barro;CE
550;79433;Barro Alto;BA
551;605006;Barro Alto;GO
552;55233;Barro Duro;PI
553;54925;Barro Preto;BA
554;192184;Barrocas;BA
555;61090;Barrolândia;TO
556;97258;Barroquinha;CE
557;160623;Barros Cassal;RS
558;345888;Barroso;MG
559;47793106;Barueri;SP
560;946776;Bastos;SP
561;617136;Bataguassu;MS
562;147109;Batalha;AL
563;149514;Batalha;PI
564;1513698;Batatais;SP
565;297881;Batayporã;MS
566;327259;Baturité;CE
567;12705640;Bauru;SP
568;1137272;Bayeux;PB
569;2803970;Bebedouro;SP
570;620406;Beberibe;CE
571;186983;Bela Cruz;CE
572;418227;Bela Vista;MS
573;60455;Bela Vista da Caroba;PR
574;835397;Bela Vista de Goiás;GO
575;166129;Bela Vista de Minas;MG
576;61494;Bela Vista do Maranhão;MA
577;431559;Bela Vista do Paraíso;PR
578;28731;Bela Vista do Piauí;PI
579;134990;Bela Vista do Toldo;SC
580;36434;Belágua;MA
581;35793;Belém;AL
582;29280972;Belém;PA
583;148894;Belém;PB
584;62662;Belém de Maria;PE
585;55260;Belém do Brejo do Cruz;PB
586;23181;Belém do Piauí;PI
587;159759;Belém do São Francisco;PE
588;7479539;Belford Roxo;RJ
589;46829;Belmiro Braga;MG
590;280860;Belmonte;BA
591;46440;Belmonte;SC
592;105485;Belo Campo;BA
593;87364598;Belo Horizonte;MG
594;1296130;Belo Jardim;PE
595;70737;Belo Monte;AL
596;1343598;Belo Oriente;MG
597;113107;Belo Vale;MG
598;133954;Belterra;PA
599;56379;Beneditinos;PI
600;34094;Benedito Leite;MA
601;212988;Benedito Novo;SC
602;1204062;Benevides;PA
603;244941;Benjamin Constant;AM
604;27085;Benjamin Constant do Sul;RS
605;116146;Bento de Abreu;SP
606;40153;Bento Fernandes;RN
607;5253990;Bento Gonçalves;RS
608;99147;Bequimão;MA
609;90512;Berilo;MG
610;37923;Berizal;MG
611;25932;Bernardino Batista;PB
612;187537;Bernardino de Campos;SP
613;45451;Bernardo do Mearim;MA
614;64779;Bernardo Sayão;TO
615;1515129;Bertioga;SP
616;43960;Bertolínia;PI
617;35029;Bertópolis;MG
618;125511;Beruri;AM
619;69294;Betânia;PE
620;37864;Betânia do Piauí;PI
621;23904767;Betim;MG
622;610372;Bezerros;PE
623;30378;Bias Fortes;MG
624;224177;Bicas;MG
625;1453063;Biguaçu;SC
626;155333;Bilac;SP
627;34811;Biquinhas;MG
628;2833555;Birigui;SP
629;723190;Biritiba Mirim;SP
630;100901;Biritinga;BA
631;274503;Bituruna;PR
632;15622353;Blumenau;SC
633;235645;Boa Esperança;ES
634;697259;Boa Esperança;MG
635;160942;Boa Esperança;PR
636;70346;Boa Esperança do Iguaçu;PR
637;222215;Boa Esperança do Sul;SP
638;37165;Boa Hora;PI
639;94018;Boa Nova;BA
640;38266;Boa Ventura;PB
641;156416;Boa Ventura de São Roque;PR
642;344983;Boa Viagem;CE
643;123933;Boa Vista;PB
644;7559301;Boa Vista;RR
645;116533;Boa Vista da Aparecida;PR
646;120463;Boa Vista das Missões;RS
647;169708;Boa Vista do Buricá;RS
648;180846;Boa Vista do Cadeado;RS
649;53618;Boa Vista do Gurupi;MA
650;141926;Boa Vista do Incra;RS
651;101733;Boa Vista do Ramos;AM
652;71412;Boa Vista do Sul;RS
653;111180;Boa Vista do Tupim;BA
654;296726;Boca da Mata;AL
655;286187;Boca do Acre;AM
656;32812;Bocaina;PI
657;392172;Bocaina;SP
658;46327;Bocaina de Minas;MG
659;64426;Bocaina do Sul;SC
660;700354;Bocaiúva;MG
661;178165;Bocaiúva do Sul;PR
662;35781;Bodó;RN
663;230091;Bodocó;PE
664;196867;Bodoquena;MS
665;151762;Bofete;SP
666;2650583;Boituva;SP
667;432785;Bom Conselho;PE
668;1047544;Bom Despacho;MG
669;245863;Bom Jardim;MA
670;248671;Bom Jardim;PE
671;659967;Bom Jardim;RJ
672;78313;Bom Jardim da Serra;SC
673;136995;Bom Jardim de Goiás;GO
674;109927;Bom Jardim de Minas;MG
675;23543;Bom Jesus;PB
676;644595;Bom Jesus;PI
677;71161;Bom Jesus;RN
678;282934;Bom Jesus;RS
679;60908;Bom Jesus;SC
680;773557;Bom Jesus da Lapa;BA
681;88684;Bom Jesus da Penha;MG
682;50945;Bom Jesus da Serra;BA
683;236661;Bom Jesus das Selvas;MA
684;617351;Bom Jesus de Goiás;GO
685;66751;Bom Jesus do Amparo;MG
686;207666;Bom Jesus do Araguaia;MT
687;136325;Bom Jesus do Galho;MG
688;661951;Bom Jesus do Itabapoana;RJ
689;122257;Bom Jesus do Norte;ES
690;41028;Bom Jesus do Oeste;SC
691;61738;Bom Jesus do Sul;PR
692;135101;Bom Jesus do Tocantins;PA
693;60885;Bom Jesus do Tocantins;TO
694;520562;Bom Jesus dos Perdões;SP
695;80721;Bom Lugar;MA
696;485261;Bom Princípio;RS
697;34750;Bom Princípio do Piauí;PI
698;48615;Bom Progresso;RS
699;121244;Bom Repouso;MG
700;231837;Bom Retiro;SC
701;232625;Bom Retiro do Sul;RS
702;302875;Bom Sucesso;MG
703;34883;Bom Sucesso;PB
704;103772;Bom Sucesso;PR
705;50824;Bom Sucesso de Itararé;SP
706;149229;Bom Sucesso do Sul;PR
707;509010;Bombinhas;SC
708;77462;Bonfim;MG
709;335135;Bonfim;RR
710;31295;Bonfim do Piauí;PI
711;70202;Bonfinópolis;GO
712;160129;Bonfinópolis de Minas;MG
713;80066;Boninal;BA
714;154033;Bonito;BA
715;561974;Bonito;MS
716;86342;Bonito;PA
717;317884;Bonito;PE
718;64112;Bonito de Minas;MG
719;81651;Bonito de Santa Fé;PB
720;87418;Bonópolis;GO
721;168073;Boqueirão;PB
722;102228;Boqueirão do Leão;RS
723;34690;Boqueirão do Piauí;PI
724;308596;Boquim;SE
725;128928;Boquira;BA
726;71778;Borá;SP
727;256955;Boracéia;SP
728;260501;Borba;AM
729;52426;Borborema;PB
730;322730;Borborema;SP
731;290811;Borda da Mata;MG
732;43443;Borebi;SP
733;164142;Borrazópolis;PR
734;239066;Bossoroca;RS
735;241681;Botelhos;MG
736;4043043;Botucatu;SP
737;42809;Botumirim;MG
738;78617;Botuporã;BA
739;226337;Botuverá;SC
740;95284;Bozano;RS
741;975131;Braço do Norte;SC
742;159921;Braço do Trombudo;SC
743;72372;Braga;RS
744;980346;Bragança;PA
745;4907901;Bragança Paulista;SP
746;163102;Braganey;PR
747;75406;Branquinha;AL
748;31343;Brás Pires;MG
749;204741;Brasil Novo;PA
750;568188;Brasilândia;MS
751;183459;Brasilândia de Minas;MG
752;149133;Brasilândia do Sul;PR
753;39754;Brasilândia do Tocantins;TO
754;385860;Brasiléia;AC
755;42720;Brasileira;PI
756;215613025;Brasília;DF
757;267512;Brasília de Minas;MG
758;639152;Brasnorte;MT
759;70216;Braúna;SP
760;123151;Braúnas;MG
761;90593;Brazabrantes;GO
762;162768;Brazópolis;MG
763;93501;Brejão;PE
764;197321;Brejetuba;ES
765;48041;Brejinho;PE
766;121364;Brejinho;RN
767;95847;Brejinho de Nazaré;TO
768;221854;Brejo;MA
769;214703;Brejo Alegre;SP
770;298578;Brejo da Madre de Deus;PE
771;51925;Brejo de Areia;MA
772;104521;Brejo do Cruz;PB
773;27587;Brejo do Piauí;PI
774;46323;Brejo dos Santos;PB
775;66571;Brejo Grande;SE
776;61840;Brejo Grande do Araguaia;PA
777;582065;Brejo Santo;CE
778;131757;Brejões;BA
779;81016;Brejolândia;BA
780;520799;Breu Branco;PA
781;653951;Breves;PA
782;99826;Britânia;GO
783;80929;Brochier;RS
784;496451;Brodowski;SP
785;607358;Brotas;SP
786;61865;Brotas de Macaúbas;BA
787;1601362;Brumadinho;MG
788;1150693;Brumado;BA
789;63961;Brunópolis;SC
790;5034195;Brusque;SC
791;125723;Bueno Brandão;MG
792;107397;Buenópolis;MG
793;81115;Buenos Aires;PE
794;216098;Buerarema;BA
795;30311;Bugre;MG
796;339706;Buíque;PE
797;145973;Bujari;AC
798;378471;Bujaru;PA
799;345650;Buri;SP
800;633054;Buritama;SP
801;147951;Buriti;MA
802;293990;Buriti Alegre;GO
803;130377;Buriti Bravo;MA
804;34344;Buriti de Goiás;GO
805;76117;Buriti do Tocantins;TO
806;134647;Buriti dos Lopes;PI
807;43155;Buriti dos Montes;PI
808;474700;Buriticupu;MA
809;54769;Buritinópolis;GO
810;112859;Buritirama;BA
811;76124;Buritirana;MA
812;601789;Buritis;MG
813;518854;Buritis;RO
814;294790;Buritizal;SP
