224;Anaurilândia;MS;0.670;0.676;0.826;0.538
225;Anchieta;ES;0.730;0.696;0.856;0.654
226;Anchieta;SC;0.699;0.703;0.800;0.608
227;Andaraí;BA;0.555;0.540;0.764;0.415
228;Andirá;PR;0.725;0.690;0.838;0.660
229;Andorinha;BA;0.588;0.586;0.731;0.474
230;Andradas;MG;0.734;0.731;0.878;0.617
231;Andradina;SP;0.779;0.762;0.885;0.702
232;André da Rocha;RS;0.720;0.738;0.837;0.605
233;Andrelândia;MG;0.700;0.675;0.818;0.621
234;Angatuba;SP;0.719;0.693;0.827;0.648
235;Angelândia;MG;0.597;0.594;0.756;0.473
236;Angélica;MS;0.697;0.692;0.839;0.582
237;Angelim;PE;0.572;0.555;0.751;0.448
238;Angelina;SC;0.687;0.699;0.797;0.581
239;Angical;BA;0.625;0.564;0.778;0.556
240;Angical do Piauí;PI;0.630;0.610;0.737;0.555
241;Angico;TO;0.648;0.576;0.773;0.612
242;Angicos;RN;0.624;0.606;0.756;0.530
243;Angra dos Reis;RJ;0.724;0.740;0.846;0.605
244;Anguera;BA;0.589;0.565;0.766;0.471
245;Ângulo;PR;0.721;0.705;0.827;0.644
246;Anhanguera;GO;0.725;0.724;0.802;0.657
247;Anhembi;SP;0.721;0.681;0.863;0.637
248;Anhumas;SP;0.741;0.683;0.845;0.706
249;Anicuns;GO;0.714;0.695;0.834;0.627
250;Anísio de Abreu;PI;0.594;0.534;0.768;0.512
251;Anita Garibaldi;SC;0.688;0.667;0.826;0.592
252;Anitápolis;SC;0.674;0.699;0.836;0.524
253;Anori;AM;0.561;0.540;0.757;0.433
254;Anta Gorda;RS;0.740;0.742;0.868;0.630
255;Antas;BA;0.592;0.573;0.739;0.491
256;Antonina;PR;0.687;0.686;0.838;0.564
257;Antonina do Norte;CE;0.599;0.550;0.772;0.506
258;Antônio Almeida;PI;0.620;0.579;0.781;0.527
259;Antônio Cardoso;BA;0.561;0.544;0.768;0.422
260;Antônio Carlos;MG;0.683;0.650;0.838;0.584
261;Antônio Carlos;SC;0.749;0.768;0.890;0.615
262;Antônio Dias;MG;0.645;0.624;0.849;0.507
263;Antônio Gonçalves;BA;0.598;0.580;0.741;0.498
264;Antônio João;MS;0.643;0.633;0.799;0.526
265;Antônio Martins;RN;0.578;0.554;0.760;0.458
266;Antônio Olinto;PR;0.656;0.626;0.825;0.547
267;Antônio Prado;RS;0.758;0.777;0.835;0.671
268;Antônio Prado de Minas;MG;0.684;0.674;0.830;0.572
269;Aparecida;PB;0.578;0.567;0.747;0.456
270;Aparecida;SP;0.755;0.735;0.828;0.706
271;Aparecida de Goiânia;GO;0.718;0.716;0.834;0.620
272;Aparecida do Rio Doce;GO;0.693;0.700;0.814;0.583
273;Aparecida do Rio Negro;TO;0.651;0.593;0.791;0.588
274;Aparecida do Taboado;MS;0.697;0.717;0.804;0.588
275;Aparecida D'Oeste;SP;0.721;0.697;0.804;0.670
276;Aperibé;RJ;0.692;0.670;0.785;0.631
277;Apiacá;ES;0.673;0.659;0.841;0.549
278;Apiacás;MT;0.675;0.666;0.809;0.570
279;Apiaí;SP;0.710;0.662;0.835;0.647
280;Apicum-Açu;MA;0.568;0.529;0.718;0.483
281;Apiúna;SC;0.708;0.735;0.827;0.584
282;Apodi;RN;0.639;0.611;0.747;0.571
283;Aporá;BA;0.548;0.516;0.751;0.425
284;Aporé;GO;0.693;0.692;0.823;0.584
285;Apuarema;BA;0.552;0.555;0.735;0.413
286;Apucarana;PR;0.748;0.741;0.845;0.668
287;Apuí;AM;0.637;0.621;0.772;0.540
288;Apuiarés;CE;0.618;0.536;0.741;0.593
289;Aquidabã;SE;0.578;0.573;0.747;0.452
290;Aquidauana;MS;0.688;0.690;0.840;0.562
291;Aquiraz;CE;0.641;0.608;0.788;0.550
292;Arabutã;SC;0.733;0.744;0.863;0.614
293;Araçagi;PB;0.549;0.540;0.745;0.412
294;Araçaí;MG;0.695;0.659;0.805;0.632
295;Aracaju;SE;0.770;0.784;0.823;0.708
296;Araçariguama;SP;0.704;0.717;0.814;0.597
297;Araças;BA;0.570;0.540;0.744;0.462
298;Aracati;CE;0.655;0.607;0.742;0.624
299;Aracatu;BA;0.581;0.591;0.754;0.439
300;Araçatuba;SP;0.788;0.782;0.841;0.744
301;Araci;BA;0.534;0.534;0.747;0.381
302;Aracitaba;MG;0.661;0.608;0.823;0.577
303;Aracoiaba;CE;0.615;0.550;0.759;0.556
304;Araçoiaba;PE;0.592;0.544;0.765;0.498
305;Araçoiaba da Serra;SP;0.776;0.751;0.860;0.723
